frame,DetObj#,x,y,z,v,snr,noise
0,0,-0.0823696106672287,0.030451925471425056,-0.004701591096818447,0.0,274,395
0,1,0.30822181701660156,0.7827972173690796,-0.12224497646093369,0.0,268,410
0,2,-0.5181314945220947,1.2128287553787231,0.02785954251885414,0.0,220,418
0,3,-0.8414101004600525,1.199143886566162,0.04965731501579285,0.0,145,477
0,4,-0.6447858214378357,1.5074080228805542,0.08308834582567215,0.0,119,616
0,5,-0.5757015943527222,1.8121017217636108,0.12498748302459717,0.0,195,623
0,6,1.7713896036148071,2.335353136062622,-0.0428464449942112,0.0,157,617
0,7,0.29759344458580017,0.5246001482009888,0.12331900000572205,-0.030225396156311035,300,360
1,0,-0.0823696106672287,0.030446728691458702,-0.004735121037811041,0.0,277,392
1,1,0.29227927327156067,0.5642320513725281,0.110190249979496,0.0,322,363
1,2,0.30822181701660156,0.7808942794799805,-0.1338634341955185,0.0,253,425
1,3,-0.5181314945220947,1.2129625082015991,0.02125578373670578,0.0,203,435
1,4,-0.8414101004600525,1.1985615491867065,0.06214483082294464,0.0,147,477
1,5,-0.6447858214378357,1.498906135559082,0.18017473816871643,0.0,122,615
1,6,-0.5757015943527222,1.8129887580871582,0.11138235777616501,0.0,197,621
1,7,1.7713896036148071,2.3355653285980225,-0.029078416526317596,0.0,155,615
2,0,-0.0823696106672287,0.030452456325292587,-0.0046981447376310825,0.0,273,395
2,1,-0.5181314945220947,1.2129501104354858,0.021951932460069656,0.0,211,427
2,2,-0.8245818614959717,1.1674591302871704,0.14286601543426514,0.0,185,439
2,3,-0.8414101004600525,1.1962491273880005,0.09695278108119965,0.0,155,469
2,4,-0.5951868891716003,1.523382544517517,0.14138482511043549,0.0,120,617
2,5,0.10274060070514679,1.691927194595337,-0.1330050230026245,0.0,115,615
2,6,-0.5757015943527222,1.8125160932540894,0.11882785707712173,0.0,201,617
2,7,1.7713896036148071,2.3355209827423096,-0.03243207186460495,0.0,161,611
2,8,0.2727939784526825,0.5726761817932129,0.11641451716423035,0.030225396156311035,331,358
2,9,0.30822181701660156,0.7814189195632935,-0.13076625764369965,0.030225396156311035,245,426
3,0,-0.0823696106672287,0.030480768531560898,-0.004510811995714903,0.0,279,390
3,1,-0.5181314945220947,1.2128182649612427,0.028314290568232536,0.0,203,435
3,2,-0.8414101004600525,1.1970993280410767,0.08582111448049545,0.0,144,478
3,3,-0.5951868891716003,1.5276724100112915,-0.08307240903377533,0.0,124,615
3,4,-0.5757015943527222,1.8126397132873535,0.11692603677511215,0.0,196,622
3,5,1.7713896036148071,2.334972620010376,-0.06011408939957619,0.0,156,615
3,6,0.29759344458580017,0.5118933916091919,0.16845771670341492,0.030225396156311035,274,361
3,7,0.30822181701660156,0.7781776189804077,-0.1488451212644577,0.030225396156311035,236,444
4,0,-0.0823696106672287,0.03045705519616604,-0.004668243695050478,0.0,263,406
4,1,-0.5181314945220947,1.2127702236175537,0.030300317332148552,0.0,218,420
4,2,-0.8414101004600525,1.1970882415771484,0.08597467839717865,0.0,150,472
4,3,-0.5951868891716003,1.5297592878341675,-0.022811952978372574,0.0,122,615
4,4,0.20548120141029358,1.6724598407745361,-0.22697922587394714,0.0,114,613
4,5,-0.20548120141029358,1.6522763967514038,0.3444187343120575,0.0,114,613
4,6,-0.5757015943527222,1.8122572898864746,0.12271127849817276,0.0,201,617
4,7,1.7713896036148071,2.3348138332366943,-0.06599092483520508,0.0,166,610
4,8,0.2727939784526825,0.5748627185821533,0.10508641600608826,0.030225396156311035,313,360
4,9,0.3188501298427582,0.8072444796562195,-0.14180491864681244,0.030225396156311035,283,420
5,0,-0.0823696106672287,0.030472561717033386,-0.004565930925309658,0.0,274,395
5,1,-0.4889035224914551,1.256727695465088,-0.0002583533641882241,0.0,211,428
5,2,-0.7971253395080566,1.2296937704086304,0.028762344270944595,0.0,144,479
5,3,-0.5951868891716003,1.5190335512161255,0.1822662204504013,0.0,120,616
5,4,-0.5757015943527222,1.8119627237319946,0.12698648869991302,0.0,201,617
5,5,1.7713896036148071,2.335258722305298,-0.04771779477596283,0.0,168,609
5,6,0.29227927327156067,0.5514167547225952,0.16260148584842682,0.030225396156311035,296,346
5,7,0.1700533926486969,0.6769409775733948,0.08843151479959488,0.030225396156311035,249,359
5,8,0.3188501298427582,0.8109837174415588,-0.11856533586978912,0.030225396156311035,288,415
6,0,-0.0823696106672287,0.030483471229672432,-0.004492506384849548,0.0,272,397
6,1,0.29227927327156067,0.8196024894714355,-0.12744560837745667,0.0,282,420
6,2,-0.5181314945220947,1.2128181457519531,0.028316427022218704,0.0,191,447
6,3,-0.8414101004600525,1.1989610195159912,0.05389127880334854,0.0,143,479
6,4,-0.5951868891716003,1.5203479528427124,0.17095647752285004,0.0,123,615
6,5,-0.5757015943527222,1.812212347984314,0.12337379157543182,0.0,200,618
6,6,1.7713896036148071,2.335254192352295,-0.04793538153171539,0.0,166,609
