frame,DetObj#,x,y,z,v,snr,noise
0,0,-0.10695286095142365,0.03987637162208557,-0.008611438795924187,0.0,288,490
0,1,-0.7544202208518982,1.3693780899047852,0.05513343960046768,0.0,135,555
0,2,-0.4864630103111267,1.7160292863845825,-0.18629013001918793,0.0,114,615
0,3,-0.5692652463912964,2.0172834396362305,-0.10312362015247345,0.0,143,656
0,4,0.13340358436107635,2.072460412979126,0.7647188901901245,0.0,125,634
0,5,0.6670178771018982,2.083448886871338,-0.33468207716941833,0.0,125,634
0,6,0.6877184510231018,0.7118468284606934,0.06717893481254578,-0.019900010898709297,310,457
1,0,-0.10695286095142365,0.03987208753824234,-0.008631259202957153,0.0,287,491
1,1,0.6877184510231018,0.7109652161598206,0.07594349980354309,0.0,277,490
1,2,-0.5692652463912964,2.0168941020965576,-0.11047396063804626,0.0,142,658
1,3,0.6670178771018982,2.0933523178100586,-0.26579412817955017,0.0,137,623
1,4,0.06670179218053818,2.016299247741699,0.9098196029663086,0.0,137,623
1,5,-1.306434988975525,2.3659589290618896,-0.1863122433423996,-0.05970003455877304,128,396
2,0,-0.11040295660495758,0.027428852394223213,-0.01272955909371376,0.0,293,485
2,1,0.7176191806793213,0.6659820079803467,0.16026945412158966,0.0,257,483
2,2,-0.7544202208518982,1.3693346977233887,0.05620131269097328,0.0,130,561
2,3,-0.5692652463912964,2.016930341720581,-0.10981037467718124,0.0,141,658
2,4,0.6670178771018982,2.0914199352264404,-0.28059443831443787,0.0,134,626
2,5,0.13340358436107635,2.067863941192627,0.7770620584487915,0.0,134,626
2,6,1.442138671875,2.0623085498809814,0.09521746635437012,-0.05970003455877304,161,395
2,7,-0.9867264628410339,2.2961764335632324,0.3096633851528168,-0.05970003455877304,161,395
3,0,-0.10695286095142365,0.0398762971162796,-0.008611779659986496,0.0,296,482
3,1,0.6877184510231018,0.7128583192825317,0.055425480008125305,0.0,301,478
3,2,0.7337197065353394,0.8089288473129272,0.17807431519031525,0.0,115,548
3,3,-0.7544202208518982,1.3695776462554932,0.04993346333503723,0.0,120,570
3,4,-0.5692652463912964,2.0167458057403564,-0.11314966529607773,0.0,143,657
3,5,0.6003161072731018,2.1129038333892822,-0.27007776498794556,0.0,124,632
3,6,0.13340358436107635,2.1178059577941895,0.6283196806907654,0.0,124,632
4,0,-0.11040295660495758,0.027436543256044388,-0.012712976895272732,0.0,295,483
4,1,-0.5692652463912964,2.0165343284606934,-0.116859070956707,0.0,145,655
4,2,0.6670178771018982,2.08113694190979,-0.34876787662506104,0.0,134,622
4,3,0.13340358436107635,2.081637144088745,0.7393739819526672,0.0,134,622
4,4,0.6877184510231018,0.7114936709403992,0.07082141190767288,-0.019900010898709297,303,431
5,0,-0.10695286095142365,0.03986942768096924,-0.00864352472126484,0.0,292,486
5,1,-0.7544202208518982,1.3696000576019287,0.049314893782138824,0.0,125,565
5,2,-0.5692652463912964,2.0168075561523438,-0.11204414814710617,0.0,146,653
5,3,0.6670178771018982,2.0857505798339844,-0.32002323865890503,0.0,126,631
5,4,0.13340358436107635,2.079477071762085,0.7454279661178589,0.0,126,631
5,5,0.61181640625,0.8087201714515686,0.3362833261489868,0.019900010898709297,157,455
5,6,1.3248354196548462,1.2645998001098633,0.004076348152011633,-0.07960004359483719,150,427
5,7,0.603766143321991,0.7381306886672974,-0.02395334653556347,-0.05970003455877304,443,336
5,8,2.415064811706543,1.944539189338684,-0.8118717074394226,-0.05970003455877304,117,423
5,9,-0.6762181520462036,3.0994904041290283,-0.45694053173065186,-0.05970003455877304,117,423
5,10,0.4002107083797455,3.2548439502716064,0.515374481678009,-0.039800021797418594,125,443
6,0,-0.10695286095142365,0.03987722098827362,-0.008607489988207817,0.0,296,483
6,1,-0.7544202208518982,1.369562029838562,0.0503581278026104,0.0,162,528
6,2,-0.4864630103111267,1.7164552211761475,-0.1823238581418991,0.0,119,610
6,3,-0.5692652463912964,2.0167617797851562,-0.11286469548940659,0.0,147,652
6,4,0.6003161072731018,2.118374824523926,-0.2231433093547821,0.0,124,635
6,5,0.13340358436107635,2.079089403152466,0.7465081214904785,0.0,124,635
6,6,1.7698973417282104,2.4508426189422607,-0.6427004933357239,0.0,134,550
6,7,0.6762181520462036,0.7694281935691833,0.30355122685432434,0.019900010898709297,202,452
6,8,0.6612676978111267,0.6811605095863342,-0.09321780502796173,-0.15920008718967438,359,333
6,9,1.7181459665298462,1.6989035606384277,-2.0473079681396484,-0.13930007815361023,131,420
6,10,0.1909051090478897,1.7611865997314453,2.6251754760742188,-0.13930007815361023,131,420
6,11,0.5750154256820679,0.7611104846000671,0.003507641376927495,-0.09950005263090134,400,334
6,12,0.3726099729537964,2.235097885131836,-2.101839542388916,-0.07960004359483719,133,446
6,13,-0.07015188038349152,1.3308546543121338,-1.9082316160202026,-0.05970003455877304,124,467
6,14,1.2627336978912354,1.2967321872711182,-1.4633634090423584,-0.05970003455877304,124,467
6,15,0.6520674824714661,0.7574939727783203,0.24973945319652557,-0.039800021797418594,294,346
7,0,-0.10695286095142365,0.039873167872428894,-0.008626258000731468,0.0,296,483
7,1,-0.7544202208518982,1.3694287538528442,0.05386051535606384,0.0,241,450
7,2,-0.4864630103111267,1.7166353464126587,-0.1806202232837677,0.0,165,564
7,3,-0.5692652463912964,2.016374111175537,-0.11959122121334076,0.0,139,660
7,4,0.6670178771018982,2.08660626411438,-0.31439676880836487,0.0,119,641
7,5,0.13340358436107635,2.0745882987976074,0.7589271664619446,0.0,119,641
7,6,1.840049147605896,2.407484531402588,-0.36886900663375854,0.0,120,557
7,7,0.49681326746940613,1.1720014810562134,0.5161872506141663,0.09950005263090134,229,331
7,8,0.7728207111358643,0.4834502935409546,-0.08734162896871567,0.2985001504421234,345,345
7,9,0.4692125618457794,0.785741925239563,-0.032461803406476974,-0.23880013823509216,429,326
7,10,-0.11270301789045334,0.7321179509162903,-1.7166662216186523,-0.13930007815361023,250,345
7,11,0.579615592956543,0.801006019115448,0.4048076570034027,-0.05970003455877304,244,337
8,0,-0.10695286095142365,0.0398704931139946,-0.008638602681457996,0.0,296,483
8,1,-0.7544202208518982,1.3695268630981445,0.05130549147725105,0.0,284,406
8,2,-0.4864630103111267,1.715674638748169,-0.18952800333499908,0.0,167,561
8,3,-0.5692652463912964,2.0160369873046875,-0.12514741718769073,0.0,154,645
8,4,0.13340358436107635,2.062995195388794,0.7898973822593689,0.0,127,617
8,5,1.932051658630371,2.357456922531128,-0.1655324101448059,0.0,139,577
8,6,-1.2765341997146606,0.41519859433174133,0.4372781217098236,0.23880013823509216,151,404
8,7,0.45541220903396606,0.7044926285743713,0.030832884833216667,-0.23880013823509216,327,337
8,8,0.27600741386413574,0.8276764154434204,-0.27816587686538696,-0.23880013823509216,340,337
8,9,0.37376001477241516,0.8704991936683655,-0.1117083728313446,-0.19900010526180267,321,360
9,0,-0.10695286095142365,0.03987783566117287,-0.00860464759171009,0.0,297,482
9,1,-0.7544202208518982,1.3693938255310059,0.0547407865524292,0.0,289,401
9,2,-0.4864630103111267,1.7167333364486694,-0.17968621850013733,0.0,168,561
9,3,-0.5692652463912964,2.015118360519409,-0.1391569823026657,0.0,153,647
9,4,1.863049864768982,2.4518966674804688,-0.2635861933231354,0.0,149,585
9,5,0.25875693559646606,0.9161165356636047,0.0609876848757267,0.05970003455877304,326,351
9,6,0.2300061583518982,0.9214873909950256,0.08889517933130264,0.11940006911754608,273,368
9,7,0.3542094826698303,0.7451366186141968,0.15481534600257874,0.13930007815361023,382,329
9,8,-1.2673338651657104,0.5063896179199219,0.4896625280380249,0.19900010526180267,170,391
9,9,-0.32085859775543213,2.3842201232910156,-2.6085848808288574,-0.07960004359483719,145,382
9,10,0.13225354254245758,0.8627140522003174,-0.09170728921890259,-0.05970003455877304,365,326
10,0,-0.11040295660495758,0.027438275516033173,-0.0127092394977808,0.0,296,483
10,1,-0.7544202208518982,1.369596004486084,0.0494258739054203,0.0,293,395
10,2,-0.4864630103111267,1.7158324718475342,-0.1880938857793808,0.0,170,558
10,3,-0.5692652463912964,2.016505241394043,-0.11736035346984863,0.0,154,645
10,4,1.863049864768982,2.4552793502807617,-0.22995281219482422,0.0,145,589
10,5,-1.518040657043457,2.0091447830200195,-0.0289288479834795,-0.09950005263090134,170,425
11,0,-0.10695286095142365,0.03987078368663788,-0.008637260645627975,0.0,293,486
11,1,-0.7544202208518982,1.3683134317398071,0.07716436684131622,0.0,270,424
11,2,-0.4864630103111267,1.7140141725540161,-0.20399974286556244,0.0,160,562
11,3,-0.5692652463912964,2.0170509815216064,-0.10757551342248917,0.0,145,654
11,4,1.9562023878097534,2.381387710571289,-0.2334398478269577,0.0,141,591
11,5,-1.3800368309020996,0.6025261282920837,0.2488320767879486,0.15920008718967438,155,399
12,0,-0.10695286095142365,0.03987326845526695,-0.008625783957540989,0.0,295,484
12,1,-0.7544202208518982,1.3703279495239258,0.020917365327477455,0.0,237,445
12,2,-0.4864630103111267,1.7164669036865234,-0.18221336603164673,0.0,168,562
12,3,-0.5692652463912964,2.0168795585632324,-0.11074003577232361,0.0,139,660
12,4,1.9562023878097534,2.380261182785034,-0.24465961754322052,0.0,138,593
13,0,-0.11040295660495758,0.027424955740571022,-0.012737955898046494,0.0,294,485
13,1,-0.41401106119155884,0.568376362323761,0.2964917719364166,0.0,115,420
13,2,-0.13800370693206787,0.6331387162208557,-0.4030565619468689,0.0,115,420
13,3,-0.7728207111358643,1.40326988697052,0.04252343252301216,0.0,279,405
13,4,-0.4864630103111267,1.7185463905334473,-0.16142778098583221,0.0,171,558
13,5,-0.5692652463912964,2.016792058944702,-0.11232424527406693,0.0,139,659
13,6,1.9562023878097534,2.382883071899414,-0.21764744818210602,0.0,137,591
13,7,-0.8694233298301697,0.9925785064697266,-1.5825064182281494,0.05970003455877304,146,414
13,8,-1.518040657043457,1.99456787109375,0.2433069944381714,0.07960004359483719,135,397
13,9,-1.426038146018982,0.507437527179718,0.19590584933757782,0.09950005263090134,204,352
13,10,0.07015188038349152,1.702154278755188,-1.5859359502792358,-0.23880013823509216,208,362
14,0,-0.10695286095142365,0.039873264729976654,-0.008625810965895653,0.0,292,486
14,1,-0.393310546875,0.4881139397621155,0.36419135332107544,0.0,113,423
14,2,-0.7544202208518982,1.370010256767273,0.036167457699775696,0.0,292,390
14,3,-0.4864630103111267,1.717943549156189,-0.16772136092185974,0.0,175,554
14,4,-0.5692652463912964,2.0170845985412598,-0.106940858066082,0.0,144,655
14,5,0.6003161072731018,2.1167337894439697,-0.2382073849439621,0.0,116,642
14,6,0.13340358436107635,2.0835442543029785,0.7339826226234436,0.0,116,642
14,7,1.863049864768982,2.4541873931884766,-0.24132822453975677,0.0,150,584
14,8,-1.618093490600586,1.9708083868026733,0.18240374326705933,0.13930007815361023,217,361
15,0,-0.10695286095142365,0.039871178567409515,-0.008635444566607475,0.0,294,484
15,1,-0.393310546875,0.4925408661365509,0.35818159580230713,0.0,114,421
15,2,-0.41401106119155884,0.5673851370811462,0.29838424921035767,0.0,119,416
15,3,-0.13800370693206787,0.6331655383110046,-0.4030143618583679,0.0,119,416
15,4,-0.7544202208518982,1.368033528327942,0.08197907358407974,0.0,308,387
15,5,-0.4864630103111267,1.7182224988937378,-0.164838969707489,0.0,173,556
15,6,-0.5692652463912964,2.017148733139038,-0.10572438687086105,0.0,141,658
15,7,1.863049864768982,2.454695224761963,-0.2361060231924057,0.0,143,590
