frame,DetObj#,x,y,z,v,snr,noise
0,0,-0.0823696106672287,0.030472245067358017,-0.0045680394396185875,0.0,283,386
0,1,-0.5296454429626465,1.23892080783844,0.05424089729785919,0.0,230,412
0,2,-0.8245818614959717,1.1657493114471436,0.1562052071094513,0.0,185,464
0,3,-0.5951868891716003,1.5253621339797974,0.11812859028577805,0.0,114,622
0,4,-0.5757015943527222,1.8115923404693604,0.13216549158096313,0.0,119,699
0,5,0.43044769763946533,0.6449009776115417,0.1590154618024826,-0.06045079231262207,355,346
1,0,-0.0823696106672287,0.030434828251600266,-0.004811019171029329,0.0,291,378
1,1,-0.5296454429626465,1.2388880252838135,0.05498620867729187,0.0,206,436
1,2,-0.8245818614959717,1.1639888286590576,0.1688237488269806,0.0,184,465
1,3,-0.5951868891716003,1.5265576839447021,0.10151555389165878,0.0,115,622
1,4,-0.5757015943527222,1.811698317527771,0.13070496916770935,0.0,119,699
1,5,0.39856263995170593,0.7813811898231506,-0.0633171871304512,-0.06045079231262207,277,405
1,6,0.391477108001709,0.9139659404754639,-0.06945569813251495,-0.06045079231262207,128,429
1,7,0.4038768410682678,1.0273115634918213,0.14973410964012146,-0.06045079231262207,118,406
1,8,0.43044769763946533,0.6278896927833557,0.21665115654468536,-0.030225396156311035,363,354
2,0,-0.0823696106672287,0.030465779826045036,-0.004610955249518156,0.0,288,381
2,1,-0.5296454429626465,1.2390220165252686,0.051879528909921646,0.0,159,483
2,2,-0.8245818614959717,1.1650704145431519,0.1611907035112381,0.0,161,488
2,3,-0.5951868891716003,1.5233060121536255,0.14220765233039856,0.0,113,622
2,4,-0.5757015943527222,1.8120273351669312,0.12606146931648254,0.0,125,693
2,5,0.3826201558113098,0.6567398309707642,0.22082355618476868,-0.030225396156311035,369,345
3,0,-0.0823696106672287,0.030458392575383186,-0.004659506492316723,0.0,282,387
3,1,-0.5296454429626465,1.2386467456817627,0.060175199061632156,0.0,139,503
3,2,-0.8245818614959717,1.1649423837661743,0.16211383044719696,0.0,147,502
3,3,-0.5951868891716003,1.524718165397644,0.12616866827011108,0.0,114,622
3,4,-0.5845585465431213,1.8408560752868652,0.11349993199110031,0.0,129,689
3,5,0.4065338969230652,0.6398553848266602,0.22756028175354004,-0.030225396156311035,357,352
3,6,0.5216742157936096,0.6735907196998596,-0.31618016958236694,-0.030225396156311035,125,479
3,7,0.2471088469028473,0.7703229784965515,0.4139783978462219,-0.030225396156311035,125,479
4,0,-0.0823696106672287,0.03047836758196354,-0.004527008626610041,0.0,292,377
4,1,-0.5296454429626465,1.238620400428772,0.06071682646870613,0.0,154,488
4,2,-0.8245818614959717,1.1647697687149048,0.1633487045764923,0.0,170,479
4,3,-0.5951868891716003,1.5246368646621704,0.12714742124080658,0.0,113,622
4,4,-0.5845585465431213,1.840470314025879,0.11959352344274521,0.0,130,688
4,5,0.3826201558113098,0.6641402244567871,0.19745373725891113,-0.030225396156311035,354,346
4,6,0.4942176938056946,0.7603626847267151,-0.058616314083337784,-0.030225396156311035,185,467
5,0,-0.0823696106672287,0.03048860840499401,-0.004457516595721245,0.0,283,386
5,1,-0.5296454429626465,1.2387875318527222,0.05720612034201622,0.0,162,480
5,2,-0.8245818614959717,1.1657030582427979,0.15655037760734558,0.0,157,491
5,3,-0.5951868891716003,1.5278651714324951,0.07944867759943008,0.0,115,622
5,4,-0.5757015943527222,1.8120979070663452,0.1250426471233368,0.0,127,691
5,5,0.29759344458580017,0.7406132817268372,-0.19147560000419617,-0.06045079231262207,311,374
6,0,-0.0823696106672287,0.030468584969639778,-0.004592386074364185,0.0,292,377
6,1,-0.5296454429626465,1.238901972770691,0.05467081069946289,0.0,241,401
6,2,-0.8245818614959717,1.166980266571045,0.14672639966011047,0.0,195,453
6,3,-0.5757015943527222,1.812343955039978,0.12142359465360641,0.0,138,680
6,4,0.32239291071891785,0.7525383234024048,-0.05900605767965317,-0.12090158462524414,324,399
6,5,0.3454209566116333,0.657080888748169,0.17277652025222778,-0.0906761884689331,367,352
6,6,0.3826201260089874,0.9804034233093262,0.07831016182899475,-0.0906761884689331,141,388
7,0,-0.0823696106672287,0.030495893210172653,-0.00440740492194891,0.0,280,389
7,1,-0.5296454429626465,1.2389500141143799,0.05357125401496887,0.0,264,378
7,2,-0.8245818614959717,1.1651209592819214,0.16082516312599182,0.0,216,432
7,3,-0.5951868891716003,1.5248643159866333,0.12438991665840149,0.0,114,622
7,4,-0.5845585465431213,1.840661644935608,0.11661039292812347,0.0,168,650
7,5,0.9857783317565918,1.0613256692886353,0.5619179010391235,-0.24180316925048828,157,363
7,6,0.28696510195732117,0.7252300977706909,-0.13476179540157318,-0.21157777309417725,348,360
7,7,0.28696510195732117,1.0128146409988403,0.07469262927770615,-0.1813523769378662,214,373
7,8,0.2878507971763611,0.6412609219551086,0.20741771161556244,-0.15112698078155518,337,328
7,9,0.23382341861724854,1.9039926528930664,-0.2519535720348358,-0.0906761884689331,237,437
8,0,-0.0823696106672287,0.030486566945910454,-0.004471463616937399,0.0,277,392
8,1,-0.5296454429626465,1.2387491464614868,0.058029040694236755,0.0,251,390
8,2,-0.8245818614959717,1.1589505672454834,0.20051215589046478,0.0,215,435
8,3,-0.5951868891716003,1.5247293710708618,0.12603236734867096,0.0,115,622
8,4,-0.5757015943527222,1.812042236328125,0.12584751844406128,0.0,175,643
8,5,1.8599591255187988,2.264800786972046,-0.0690026581287384,0.0,187,596
8,6,0.2533087134361267,0.7165331244468689,-0.057772666215896606,-0.24180316925048828,383,348
8,7,0.6235291361808777,0.8209792375564575,2.364748239517212,-0.21157777309417725,139,464
8,8,-0.545587956905365,1.0681610107421875,-2.2838993072509766,-0.21157777309417725,139,464
8,9,0.2169952392578125,0.988128125667572,0.17094869911670685,-0.0906761884689331,231,359
8,10,0.22319507598876953,1.017691969871521,0.16795437037944794,-0.0906761884689331,230,360
8,11,0.9211225509643555,1.0633584260940552,0.5869349837303162,-0.0906761884689331,188,359
9,0,-0.0823696106672287,0.030460968613624573,-0.0046426402404904366,0.0,282,387
9,1,-0.5296454429626465,1.2394301891326904,0.04098695144057274,0.0,214,427
9,2,-0.8245818614959717,1.1666580438613892,0.14926666021347046,0.0,200,447
9,3,-0.5757015943527222,1.8112324476242065,0.13700991868972778,0.0,155,663
9,4,1.8599591255187988,2.2603161334991455,-0.1582857072353363,0.0,157,623
9,5,0.19928133487701416,0.7040334343910217,0.041468169540166855,-0.12090158462524414,387,338
10,0,-0.0823696106672287,0.030485747382044792,-0.0044770389795303345,0.0,284,385
10,1,-0.5296454429626465,1.2386822700500488,0.05944131687283516,0.0,240,400
10,2,-0.8245818614959717,1.1555300951004028,0.2193666249513626,0.0,189,459
10,3,-0.5951868891716003,1.5263594388961792,0.10445431619882584,0.0,116,621
10,4,-0.5757015943527222,1.8078912496566772,0.17568069696426392,0.0,123,694
10,5,-0.5845585465431213,1.837852954864502,0.15469172596931458,0.0,130,687
10,6,1.8599591255187988,2.256810188293457,-0.20221704244613647,0.0,155,625
11,0,-0.0823696106672287,0.03047753870487213,-0.004532583989202976,0.0,282,387
11,1,-0.5296454429626465,1.2391449213027954,0.04885546863079071,0.0,254,387
11,2,-0.8245818614959717,1.1651567220687866,0.16056640446186066,0.0,214,435
11,3,-0.5951868891716003,1.5255123376846313,0.1161731481552124,0.0,115,623
11,4,-0.5757015943527222,1.8116117715835571,0.13189789652824402,0.0,119,699
11,5,1.8599591255187988,2.257603645324707,-0.19315582513809204,0.0,155,625
12,0,-0.0823696106672287,0.030438706278800964,-0.0047864289954304695,0.0,272,397
12,1,-0.5296454429626465,1.239764928817749,0.029150918126106262,0.0,239,404
12,2,-0.5951868891716003,1.5264438390731812,0.10321301221847534,0.0,134,600
12,3,-0.5757015943527222,1.811692237854004,0.13078802824020386,0.0,114,704
12,4,1.8599591255187988,2.2582452297210693,-0.185506209731102,0.0,153,626
12,5,-0.8245818614959717,1.146318793296814,0.26329609751701355,0.030225396156311035,194,429
13,0,-0.0823696106672287,0.0304753165692091,-0.004547503776848316,0.0,291,378
13,1,-0.5296454429626465,1.239725112915039,0.030800137668848038,0.0,241,403
13,2,-0.5951868891716003,1.5256842374801636,0.1138932928442955,0.0,120,615
13,3,-0.5757015943527222,1.8117363452911377,0.1301770806312561,0.0,118,700
13,4,1.8599591255187988,2.2579503059387207,-0.1890595406293869,0.0,154,626
13,5,-0.8245818614959717,1.1664938926696777,0.15054374933242798,-0.030225396156311035,186,440
14,0,-0.0823696106672287,0.03045475482940674,-0.004683224949985743,0.0,275,394
14,1,-0.5296454429626465,1.2393426895141602,0.04354869946837425,0.0,235,405
14,2,-0.8245818614959717,1.1442261934280396,0.2722461521625519,0.0,191,458
14,3,-0.5951868891716003,1.5299283266067505,0.0018287658458575606,0.0,114,622
14,4,-0.5757015943527222,1.811632513999939,0.13161399960517883,0.0,123,695
14,5,1.8599591255187988,2.257905960083008,-0.18959031999111176,0.0,153,627
14,6,-0.20548120141029358,1.6515799760818481,-0.3477427661418915,0.21157777309417725,218,353
15,0,-0.0823696106672287,0.030465422198176384,-0.004613326862454414,0.0,286,383
15,1,-0.5296454429626465,1.2391382455825806,0.04902549088001251,0.0,224,417
15,2,-0.5951868891716003,1.5258291959762573,0.11193381994962692,0.0,132,604
15,3,-0.5757015943527222,1.81174635887146,0.13003651797771454,0.0,121,697
15,4,1.8599591255187988,2.2580933570861816,-0.18734419345855713,0.0,153,627
15,5,-0.8245818614959717,1.1602745056152344,0.19270311295986176,-0.030225396156311035,192,438
16,0,-0.0823696106672287,0.030466316267848015,-0.004607407376170158,0.0,287,382
16,1,-1.133689284324646,0.28590360283851624,0.08928927034139633,0.0,117,350
16,2,-0.5296454429626465,1.239670991897583,0.032904915511608124,0.0,228,414
16,3,-0.8245818614959717,1.1710370779037476,0.10974423587322235,0.0,161,476
16,4,-0.5951868891716003,1.5257031917572021,0.11363875865936279,0.0,115,620
16,5,-0.5757015943527222,1.8116519451141357,0.13134710490703583,0.0,118,700
16,6,1.8599591255187988,2.2576427459716797,-0.19270005822181702,0.0,152,628
17,0,-0.0823696106672287,0.030434397980570793,-0.004813735373318195,0.0,284,385
17,1,-0.5296454429626465,1.2397648096084595,0.02915550209581852,0.0,234,409
17,2,-0.8245818614959717,1.1737757921218872,0.0749800056219101,0.0,174,466
17,3,-0.5951868891716003,1.5252232551574707,0.11990757286548615,0.0,113,622
17,4,-0.5757015943527222,1.8116258382797241,0.1317044198513031,0.0,117,701
17,5,1.8599591255187988,2.257477283477783,-0.1946275681257248,0.0,155,625
18,0,-0.0823696106672287,0.030472407117486,-0.004566964693367481,0.0,289,380
18,1,-0.5296454429626465,1.2390843629837036,0.05036769062280655,0.0,241,400
18,2,-0.8245818614959717,1.1606441736221313,0.1904643326997757,0.0,183,465
18,3,-0.5951868891716003,1.5251641273498535,0.12065809220075607,0.0,116,621
18,4,-0.5757015943527222,1.8116741180419922,0.13103967905044556,0.0,119,699
18,5,1.8599591255187988,2.2577929496765137,-0.1909319907426834,0.0,151,629
19,0,-0.0823696106672287,0.030465280637145042,-0.0046142591163516045,0.0,293,376
19,1,-0.5296454429626465,1.2380114793777466,0.07207250595092773,0.0,239,402
19,2,-0.8245818614959717,1.1648274660110474,0.1629369705915451,0.0,186,459
19,3,-0.5951868891716003,1.5248756408691406,0.1242508813738823,0.0,117,619
19,4,-0.5845585465431213,1.8401433229446411,0.12452332675457001,0.0,130,688
19,5,1.8599591255187988,2.2581889629364014,-0.18618902564048767,0.0,154,626
20,0,-0.0823696106672287,0.03045251965522766,-0.0046977391466498375,0.0,294,375
20,1,-0.5296454429626465,1.2377572059631348,0.07631610333919525,0.0,229,412
20,2,-0.8245818614959717,1.1653008460998535,0.1595166176557541,0.0,188,456
20,3,-0.5951868891716003,1.5240662097930908,0.13381269574165344,0.0,116,619
20,4,-0.5845585465431213,1.8402374982833862,0.12312328815460205,0.0,131,687
20,5,1.8599591255187988,2.2580759525299072,-0.1875540167093277,0.0,153,627
21,0,-0.0823696106672287,0.030444402247667313,-0.004750061314553022,0.0,277,392
21,1,-0.5296454429626465,1.2384520769119263,0.06405697017908096,0.0,240,401
21,2,-0.8245818614959717,1.1644058227539062,0.165924072265625,0.0,193,452
21,3,-0.5951868891716003,1.5247358083724976,0.12595486640930176,0.0,115,620
21,4,-0.5757015943527222,1.811663269996643,0.1311899721622467,0.0,122,696
21,5,-0.5845585465431213,1.8402049541473389,0.1236085370182991,0.0,128,690
21,6,1.8599591255187988,2.2578227519989014,-0.19057689607143402,0.0,153,627
22,0,-0.0823696106672287,0.030462319031357765,-0.004633761011064053,0.0,279,390
22,1,-0.5296454429626465,1.2384833097457886,0.06345108896493912,0.0,242,400
22,2,-0.8245818614959717,1.1685853004455566,0.13334199786186218,0.0,194,450
22,3,-0.5951868891716003,1.5245407819747925,0.12829391658306122,0.0,114,621
22,4,-0.5757015943527222,1.8117719888687134,0.12967868149280548,0.0,122,696
22,5,1.8599591255187988,2.257596015930176,-0.1932467222213745,0.0,152,628
23,0,-0.0823696106672287,0.030438246205449104,-0.004789348226040602,0.0,279,390
23,1,-0.5296454429626465,1.2373290061950684,0.08296937495470047,0.0,249,393
23,2,-0.8245818614959717,1.16801917552948,0.13821342587471008,0.0,205,440
23,3,-0.5951868891716003,1.5240497589111328,0.13400104641914368,0.0,115,620
23,4,-0.5757015943527222,1.8116849660873413,0.13088911771774292,0.0,122,696
23,5,1.8599591255187988,2.2576653957366943,-0.1924324631690979,0.0,151,629
